,AWARD TITLE,PROPOSAL NO,PROPOSAL TYPE,PRIME ACCOUNT,AWARD NO,AWARD AMOUNT,AWARD PROJECT PI PID,AWARD PROJECT PI,AWARD PI,SPONSOR,SPONSOR TYPE,SPONSOR CODE,ARRA FUNDING,OTHER PERSONNEL,AWARD ADMIN DEPT NO,AWARD ADMIN DEPT,AWARD ADMIN SCHOOL,AWARD PROJECT PI DEPT NO,AWARD PROJECT PI DEPT,AWARD PI HOME DEPT NO,AWARD PI HOME DEPT,AWARD PI HOME SCHOOL,OFFICIAL REPORT DATE,REPORT MONTH,FISCAL YEAR,PROJECT BEGIN DATE,PROJECT END DATE,AWARD MECHANISM,AWARD TYPE,CHESS CODE,PRIME SPONSOR CODE,PRIME SPONSOR,PAYMENT BASIS,PAYMENT METHOD,INVOICE FREQUENCY,Determined Dept,Determined College,SPONSOR AWARD NO,F&A ACTIVITY TYPE,CFDA NO,FINAL REPORT DUE DATE,PROGRAM DESIGNATION,AWARD NOTICE RECEIVED,PASS THRU AGENCY
2119,UNC Charlotte PhD Program in Special Education with a Specialty in Multi-tiered Interventions,17-0485,New,530604,A18-0066-002,249996,800369488,"Wood, Charles","Wood, Charles",US Department of Education (DOED),Federal,5500,No,"Lo, Ya-yu",['recTEEQhVGGL85SyK'],Special Education and Child Development,College of Education,21000,Special Education and Child Development,21000,Special Education and Child Development,College of Education,8/16/2018,8,2019,2018-01-01,2019-12-31,,(10 - 15) Grant,06 - Other,,,,,,Special Ed & Child Dev,Education,H325D170087 - 01,OS - Other Sponsored Activities (401),84.325,,,,
4065,Loss of novel end joining factor with dysfunction of BRCA1 contributes to treatment resistance,19-0040,New,530778,A19-0104-002,26197,801095742,"Tomida, Junya","Tomida, Junya",National Institutes of Health (NIH),Federal,5332,No,,['reczYCftV7YK7l9FJ'],Biological Sciences,College of Liberal Arts and Sciences,17200,Biological Sciences,17200,Biological Sciences,College of Liberal Arts and Sciences,3/26/2019,3,2019,2018-08-15,2019-07-31,,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Biological Sciences,CLAS,7 R03 CA212556-03,OR - Organized Research (110),93.393,,,,
1755,Supporting Strategic Writers: Effects of an Innovative Developmental Writing Program on Writing and Reading Outcomes,16-0049,New,530426,A17-0012-001,117309,800923481,"Philippakos, Zoi apostolia","Philippakos, Zoi apostolia",University of Delaware,Educational and Research Institutions,12506,No,,['recB2qK6G1z5Fk5ty'],Reading and Elementary Education,College of Education,21100,Reading and Elementary Education,21100,Reading and Elementary Education,College of Education,6/8/2016,6,2016,2016-07-01,2018-06-30,New,(20 - 25) Contract,01 - Research & Development (R&D),5500,US Department of Education (DOED),,,,Reading & Elementary ED,Education,43221,OR - Organized Research (110),84.305,8/30/2016,,,
1668,2015-16 Charlotte-Mecklenburg Annual Telephone Survey of Mecklenburg County Residents,16-0259,New,560303,A16-0126-001,6100,800699122,"Gavarkavich, Diane","Gavarkavich, Diane",Goodwill Industries of the Southern Piedmont,Nonprofit Organization,19323,No,,['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,11/17/2015,11,2016,2015-09-01,2016-02-29,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,Ltr dated 10-28-15,PS - Public Service (401),0,,,,
1947,2017-2018 Governor's Institute on Substance Abuse Scholarships,18-0627,New,530674,A18-0184-001,10000,800014232,"Lassiter, Pamela","Lassiter, Pamela",Governors Institute on Alcohol and Substance Abuse,Local Government,17320,No,,['recnUAZGqEZd0S3D3'],Counseling,College of Education,20950,Counseling,20950,Counseling,College of Education,3/12/2018,3,2018,2017-07-01,2018-06-30,New,(20 - 25) Contract,04 - Student Support,,,,,,Counseling,Education,Agreement dated 2/28/2018,,93.959,,,,
1723,Increasing the Capacity of Early Childhood Education Programs to Use Data to Improve Implementation and Evaluation,16-0077,New,530438,A17-0019-001,199999,800015312,"Cook, James","Cook, James",DOED Institute of Education Sciences (IES),Federal,5501,No,"Armstrong, Laura; Kilmer, Ryan;",['recC1FwGi0gvCMCcJ'],Psychology,College of Liberal Arts and Sciences,19100,Psychological Science,19100,Psychology,College of Liberal Arts and Sciences,6/30/2016,6,2016,2016-09-01,2018-08-31,New,(10 - 15) Grant,03 - Public Service,,,,,,Psychological Science,CLAS,R305H160052,PS - Public Service (401),84.305,,,,
238,LCS International Film Festival - Tournees,17-0794,New,560499,A18-0036-001,2200,800017279,"Bissiere, Michele","Bissiere, Michele",French American Cultural Exchange (FACE),Nonprofit Organization,15610,No,"LaMarca, Mary",['rec8TJ3IyKtDwvCNU'],Languages and Culture Studies,College of Liberal Arts and Sciences,18400,Languages and Culture Studies,18400,Languages and Culture Studies,College of Liberal Arts and Sciences,6/26/2017,6,2017,2017-07-01,2018-06-30,New,(10 - 15) Grant,06 - Other,,,,,,Languages and Culture Studies,CLAS,Letter Dated 06/26/2017,OS - Other Sponsored Activities (401),0,,,,
3006,OUTSpoken Speakers Series,16-0076,New,560275,A15-0314-001,1550,800211238,"Rhodes, Theresa","Rhodes, Theresa",Alliance for Full Acceptance (AFFA),Association,22470,No,,['recU8Ko5O7Vq52FBJ'],Counseling Center,Student Affairs,29900,Counseling & Psychological Center,29900,Counseling Center,Student Affairs,8/1/2015,8,2016,2015-06-01,2015-10-30,New,(20 - 25) Contract,06 - Other,,,,,,Counseling Center,Student Affairs,Letter Dated 7/22/15,OS - Other Sponsored Activities (401),0,,,,
1377,Salvation Army of Greater Charlotte: Rapid Rehousing Assessment Year 2,16-0595,New,560345,A16-0214-001,10000,800981720,"Gaines, Angelique","Clark, Ashley","The Salvation Army, Greater Charlotte Area",Nonprofit Organization,24516,No,"Hawn Nelson, Amy; Clark, Ashley;",['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,4/19/2016,4,2016,2016-03-01,2020-03-31,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,Letter Dated 03/18/2016,PS - Public Service (401),0,,,,
3054,Master Agreement,"16-0681, 17-0017",,560383,A16-0268-001,17500,800015381,"Blanchette, Christopher","Blanchette, Christopher",United Therapeutics Corporation,Business and Industry,10537,No,"Zacherle, Emily; Noone, Joshua; Howden, Reuben;",['recKKiRk2HTgpu4cE'],Deans Office College of Health and Human Services,College of Health and Human Services,22900,Public Health Sciences,22900,Public Health Sciences,College of Health and Human Services,6/29/2016,6,2016,2016-06-29,2021-06-28,New,(20 - 25) Contract,"01 - Research & Development (R&D), 06 - Other",,,,,,College of Health & Human Svc,CHHS,SOW #1,OR - Organized Research (110),0,,,,
2773,UNITED WAY OF CENTRAL CAROLINAS COLLECTIVE IMPACT STUDY: YEAR THREE,15-0278,New,560144,A15-0103-001,83897,800699122,"Gavarkavich, Diane","Gavarkavich, Diane",United Way of Central Carolinas,Nonprofit Organization,15925,No,"Apaliski, Claire; Zachary, Lauren;",['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,10/28/2014,10,2015,2014-09-01,2015-11-30,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Urban Institute,Academic Affairs,2975-2015-0278,OR - Organized Research (110),0,,,,
2724,"2019-2020 NC Coaching, Mentoring, Performance Evaluation and Professional Development for Birth through Kindergarten Licensed Teachers Employed in Nonpublic School Classrooms",19-0647,New,520298,A20-0010-001,1921798,800202033,"Lambert, Richard","Lambert, Richard",North Carolina Department of Health and Human Services (NCDHHS),State Government (NC),17393,No,"Vestal, Amanda",['recIuBYGXbo48Tq9j'],Educational Leadership,College of Education,20900,Educational Leadership,20900,Educational Leadership,College of Education,6/18/2019,6,2019,2019-07-01,2020-06-30,New,(20 - 25) Contract,06 - Other,,,,,,Educational Leadership,Education,38416,OS - Other Sponsored Activities (401),93.575,,,,
3991,Fabrication of large space-qualified reflective freeform optics for imaging systems,17-0193,New,530488,A17-0126-001,112236,800201296,"Davies, Matthew","Davies, Matthew",University of Rochester,Educational and Research Institutions,12636,No,"Owen, Joseph",['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,12/12/2016,12,2017,2016-09-01,2019-08-31,New,(20 - 25) Contract,01 - Research & Development (R&D),5605,DOD DAF Air Force Research Laboratory (AFRL),,,,Mech Engineering & Engineering Sci,ENG,416952-G,OR - Organized Research (110),47.041,,,,
908,SafeAlliance Rules Reduction Project,16-0109,New,560283,A16-0079-001,3766,800406689,"Kulkarni, Shanti","Kulkarni, Shanti",Safe Alliance,Nonprofit Organization,22208,No,,['recAFo8Og11VK3jsh'],School of Social Work,College of Health and Human Services,22800,School of Social Work,22800,School of Social Work,College of Health and Human Services,9/11/2015,9,2016,2015-08-31,2016-07-31,New,(20 - 25) Contract,03 - Public Service,,,,,,School of Social Work,CHHS,2975-2016-0109,OS - Other Sponsored Activities (401),0,6/30/2016,,,
3511,Confidential,15-0934,New,560292,A16-0093-001,120000,800011764,"Tempest, Brett","Tempest, Brett",Confidential,Business and Industry,Confidential,No,,['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,9/28/2015,9,2016,2015-08-17,2017-12-31,New,(20 - 25) Contract,01 - Research & Development (R&D),Confidential,Confidential,,,,Civil and Environmental Engr,ENG,1262782,OR - Organized Research (110),0,,,,
3295,Optimization of BioProcessing for Dry Preservation of GVs,17-0297,Renewal (Competitive),530641,A18-0145-001,75500,800211836,"Elliott, Gloria","Elliott, Gloria",Smithsonian Institution (SI),Federal,5827,No,,['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,1/23/2018,1,2018,2017-07-01,2019-06-30,New,(20 - 25) Contract,01 - Research & Development (R&D),5332,National Institutes of Health (NIH),,,,Mech Engineering & Engineering Sci,ENG,,OR - Organized Research (110),93.351,,,,
3982,Healthy Partnerships for Active Living (PALS) FY 17-18,17-0792,New,560486,A18-0022-001,10000,800699122,"Gavarkavich, Diane","Gavarkavich, Diane",Cabarrus Health Alliance,Nonprofit Organization,17995,No,,['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,6/6/2017,6,2017,2017-07-01,2018-06-30,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,N/A,PS - Public Service (401),0,,,,
3095,CAREER: An Experimentally-Infused Plant and Control Optimization Framework for Airborne Wind Energy Systems,15-0058,New,530237,A15-0157-001,500000,800821725,"Vermillion, Chris","Vermillion, Chris",National Science Foundation (NSF),Federal,5738,No,"Glass, Ben",['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,1/7/2015,1,2015,2015-02-01,2020-01-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Mech Engineering & Engineering Sci,ENG,1453912,OR - Organized Research (110),47.041,,,,
1011,Pragda/Spanish Film Club Grant for International Film Festival at University of North Carolina at Charlotte,17-0270,New,direct languages,A17-0103-001,1250,800859042,"Rodriguez, Monica","Rodriguez, Monica",Pragda,Business and Industry,24316,No,"Dalton, David",['rec8TJ3IyKtDwvCNU'],Languages and Culture Studies,College of Liberal Arts and Sciences,18400,Languages and Culture Studies,18400,Languages and Culture Studies,College of Liberal Arts and Sciences,11/21/2016,11,2017,2016-11-01,2017-05-15,New,(10 - 15) Grant,02 - Instruction,,,,,,Languages and Culture Studies,CLAS,Direct Award Dated 11-21-2016,SI - Sponsored Instruction (101),0,,,,
1482,Confidential,17-0577,Supplement,560132,A15-0072-005,2785957,800004303,"Daniels, John","Daniels, John",Confidential,Business and Industry,Confidential,No,,['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,4/11/2017,4,2017,2014-08-08,2020-06-30,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),Confidential,Confidential,,,,Civil and Environmental Engr,ENG,MOD4,OR - Organized Research (110),0,,,,
3394,CAREER: A multiscale framework for crystalline defects in 2-dimensional materials,19-0054,New,530804,A20-0002-001,64147,800906546,"Li, Xingjie","Li, Xingjie",NSF Directorate for Mathematical and Physical Sciences (MPS),Federal,5755,No,,['reclsVwkV3uYB2Qkw'],Mathematics and Statistics,College of Liberal Arts and Sciences,18500,Mathematics and Statistics,18500,Mathematics and Statistics,College of Liberal Arts and Sciences,1/31/2019,1,2019,2019-07-01,2024-06-30,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Mathematics and Statistics,CLAS,847770,OR - Organized Research (110),47.049,,,,
1985,Integration of Current and Previous P2EP data into the P2EP Knowledgebase,19-0234,New,520293,A19-0092-001,35426,800369655,"Reid, Robert","Reid, Robert",NCSU Plant Pathways Elucidation Project (P2EP),Educational and Research Institutions,27502,No,"Jay, Jeremy",['rec5Sk9WD9a1s4mCr'],Bioinformatics and Genomics,College of Computing and Informatics,23270,Bioinformatics and Genomics,23270,Bioinformatics and Genomics,College of Computing and Informatics,10/12/2018,10,2019,2018-09-01,2019-12-31,,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,BIG,CCI,2016-2839-02,OR - Organized Research (110),0,,,,
2909,Thermal Camera for enhanced Laser Damage Testing,19-0287,New,530851,A19-0239-001,44563,800754593,"Aggarwal, Ishwar","Aggarwal, Ishwar",DOD DN Office of Naval Research (ONR),Federal,5614,No,"Hutchens, Thomas",['recIFxtNxm1RKXI2Z'],Physics and Optical Science,College of Liberal Arts and Sciences,18800,Physics and Optical Science,18800,Physics and Optical Science,College of Liberal Arts and Sciences,6/27/2019,6,2019,2019-07-01,2019-12-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Physics and Optical Science,CLAS,N00014-19-1-2484,OR - Organized Research (110),12.3,,,,
3542,"Materials Characterization Laboratory Services - Master Agreement with BSN Medical, Inc.",15-0202,New,560157,A15-0130-001,396,800007279,"Weaver, Katherine","Weaver, Katherine",BSN Medical,Business and Industry,10904,No,,['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,22150,Energy Production and Infrastructure Center,22000,Mechanical Engineering and Engineering Science,College of Engineering,12/9/2014,12,2015,2014-08-01,2017-03-03,New,(20 - 25) Contract,06 - Other,,,,,,EPIC,ENG,Task Order 1,OS - Other Sponsored Activities (401),0,,,,
521,International Festival: To bring individuals in the Charlotte-Mecklenburg community together to learn about various cultures and celebrate the growing diversity of the region.,20-0043,New,550277,A20-0021-001,5000,800985492,"Hoff, Joseph","Hoff, Joseph",Arts and Science Council (ASC),Local Government,14970,No,,['recGGWuqTjGBt1nGD'],International Programs,Academic Affairs,26500,International Programs,26500,International Programs,Academic Affairs,7/15/2019,7,2020,2019-08-01,2019-09-21,New,(10 - 15) Grant,06 - Other,,,,,,International Programs,Academic Affairs,7993,OS - Other Sponsored Activities (401),0,,,,
2640,SBIR: Therapeutic effect of bispecific antibody-redirected T cells against human metastatic triple negative breast cancer,17-0453,New,530617,A18-0116-001,67500,800595584,"Mukherjee, Pinku","Mukherjee, Pinku","Dualogics, LLC",Business and Industry,24848,No,"Moore, Laura",['reczYCftV7YK7l9FJ'],Biological Sciences,College of Liberal Arts and Sciences,17200,Biological Sciences,17200,Biological Sciences,College of Liberal Arts and Sciences,11/20/2017,11,2018,2017-07-13,2019-03-12,New,Incoming_Sub,01 - Research & Development (R&D),5332,National Institutes of Health (NIH),,,,Biological Sciences,CLAS,2975-17-0453,OR - Organized Research (110),93.393,,,,
2387,"Regional EC Consultant, Exceptional Children (Education Consultant II)",09-0722,New,530150,A10-0250-002,426,800003201,"Algozzine, Robert","Algozzine, Robert",NC Dept of Public Instruction,State Government (NC),17444,No,,['recIuBYGXbo48Tq9j'],Educational Leadership (dpt),College of Education,20900,Educational Leadership,20900,Educational Leadership (Dpt),College of Education,12/19/2014,12,2015,2014-07-01,2015-06-30,Supplement,(20 - 25) Contract,03 - Public Service,5500,Dept of Education,,,,Educational Leadership,Education,NC 10146067 Amend 1,OR - Organized Research (110),84.027,,,,
3531,UNC Charlotte ECE SoutheastCon 2016 Hardware Competition,16-0256,New,530375,A16-0153-001,5000,800431374,"Bousaba, Nabila","Bousaba, Nabila",North Carolina Space Grant Consortium (NC Space Grant),Educational and Research Institutions,12923,No,,['recFIJWzoCvufHhxn'],Electrical and Computer Engineering,College of Engineering,21900,Electrical and Computer Engineering,21900,Electrical and Computer Engineering,College of Engineering,1/29/2016,1,2016,2015-11-01,2016-06-01,New,(10 - 15) Grant,06 - Other,5771,National Aeronautics and Space Administration (NASA),,,,Electrical & Computer Engineering,ENG,2015-1942-CT-04,OR - Organized Research (110),43.008,,,,
1435,2019-2020 Regional EC Education Consultant and State Performance Plan Consultant,19-0793,New,530840,A20-0011-001,401904,800016671,"Anderson, Kelly","Anderson, Kelly",North Carolina Department of Public Instruction (NCDPI),State Government (NC),17444,No,,['recTEEQhVGGL85SyK'],Special Education and Child Development,College of Education,21000,Special Education and Child Development,21000,Special Education and Child Development,College of Education,6/20/2019,6,2019,2019-07-01,2020-06-30,New,(20 - 25) Contract,06 - Other,5500,US Department of Education (DOED),,,,Special Ed & Child Dev,Education,RQ22012223,OS - Other Sponsored Activities (401),84.027,,,,
3312,Confidential,16-0401,New,560313,A16-0144-001,99980,800213190,"Chu, Bei-tseng","Chu, Bei-tseng",Confidential,Business and Industry,Confidential,No,"Al-Shaer, Ehab; Yang, Jing; Duan, Qi; Niu, Xi;",['recm9Y4qUnFK0GBja'],Software and Information Systems,College of Computing and Informatics,23300,Software and Information Systems,23300,Software and Information Systems,College of Computing and Informatics,12/17/2015,12,2016,2015-12-15,2016-12-14,New,(20 - 25) Contract,01 - Research & Development (R&D),Confidential,Confidential,,,,SIS,CCI,201372,OR - Organized Research (110),0,,,,
3970,Telling Vital Stories: The City Journalist Workshops,17-0277,New,560416,A17-0084-001,5000,800627381,"Newsom, Mary","Newsom, Mary",The Center for the Living City,Nonprofit Organization,27991,No,,['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,10/17/2016,10,2017,2016-10-01,2017-09-30,New,(20 - 25) Contract,03 - Public Service,13547,Ford Foundation,,,,Urban Institute,Academic Affairs,Letter Dated 10/12/2016,PS - Public Service (401),0,,,,
332,Graduate Assistantship at United Way of Central Carolinas,17-0679,New,560468,A18-0004-001,17719,800212915,"Kilmer, Ryan","Kilmer, Ryan",United Way of Central Carolinas,Nonprofit Organization,15925,No,"Cook, James",['recC1FwGi0gvCMCcJ'],Psychological Science,College of Liberal Arts and Sciences,22700,Kinesiology,19100,Psychological Science,College of Liberal Arts and Sciences,4/19/2017,4,2017,2017-08-16,2018-05-15,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Psychological Science,CLAS,Letter Dated 04/19/2017,OR - Organized Research (110),0,,,,
4167,The Housing First Charlotte-Mecklenburg Evaluation Project,16-0399,New,560334,A16-0175-001,30000,800584660,"Thomas, Marye","Thomas, Marye",Urban Ministry Center,Nonprofit Organization,19650,No,"Carman, Joanne",['recAFo8Og11VK3jsh'],School of Social Work,College of Health and Human Services,26400,Urban Institute,22800,School of Social Work,College of Health and Human Services,3/2/2016,3,2016,2016-01-18,2018-08-31,New,(20 - 25) Contract,06 - Other,,,,,,School of Social Work,CHHS,2975-2016-0399,OS - Other Sponsored Activities (401),0,,,,
3664,Engagement of monocytes mitigates neuronal damage in Alzheimer's disease model,19-0499,New,560646,A19-0133-001,54756,800882703,"Cho, Hansang","Cho, Hansang",American Association of Immunologists,Association,24222,No,,['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,1/18/2019,1,2019,2019-05-01,2020-04-30,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Mech Engineering & Engineering Sci,ENG,"Dated January 18, 2019",OR - Organized Research (110),0,,,,
